,website,region,Finanacial Status
363,http://ipmr-nevers.fr/,Bourgogne-Franche-Comté,privé
364,http://isabtp.univ-pau.fr,Nouvelle-Aquitaine,public
365,http://isal-paris.com/,Ile-de-France,privé
366,http://iscid.univ-tlse2.fr,Occitanie,public
367,http://iseam.eu,Ile-de-France,privé
368,http://iseg.fr/ecole-communication-lyon/,Auvergne-Rhône-Alpes,privé
369,http://isen-rennes.fr,Bretagne,privé reconnu par l'Etat
370,http://isfa.fr,Auvergne-Rhône-Alpes,public
371,http://isfec-montpellier.org/,Occitanie,privé sous contrat
372,http://isfecdesalpes.fr,Auvergne-Rhône-Alpes,privé sous contrat
373,http://isfogep.fr,Nouvelle-Aquitaine,privé reconnu par l'Etat
374,http://isifc.univ-fcomte.fr,Bourgogne-Franche-Comté,public
375,http://ispb.univ-lyon1.fr/,Auvergne-Rhône-Alpes,public
376,http://ist.univ-lille2.fr/,Hauts-de-France,public
377,http://istr.univ-lyon1.fr/,Auvergne-Rhône-Alpes,public
378,http://it.cnam.fr,Ile-de-France,public
379,http://iteem.centralelille.fr/,Hauts-de-France,public
380,http://itip.cnam.fr/l-itip-le-havre-manche-mer-du-nord--43241.kjsp?RH=,Normandie,public
381,http://itiri.unistra.fr,Grand Est,public
382,http://iut-aisne.u-picardie.fr/,Hauts-de-France,public
383,http://iut-alencon.unicaen.fr/,Normandie,public
384,http://iut-allier.uca.fr/,Auvergne-Rhône-Alpes,public
385,http://iut-angouleme.univ-poitiers.fr,Nouvelle-Aquitaine,public
386,http://iut-bethune.univ-artois.fr/,Hauts-de-France,public
387,http://iut-blois.univ-tours.fr,Centre-Val de Loire,public
388,http://iut-bv.univ-fcomte.fr/,Bourgogne-Franche-Comté,public
389,http://iut-c.univ-lille.fr/,Hauts-de-France,public
390,http://iut-caen.unicaen.fr/,Normandie,public
391,http://iut-epinal.univ-lorraine.fr/,Grand Est,public
392,http://iut-figeac.univ-tlse2.fr,Occitanie,public
393,http://iut-moselle-est.univ-lorraine.fr/,Grand Est,public
394,http://iut-oise.u-picardie.fr/,Hauts-de-France,public
395,http://iut-perigueux.u-bordeaux.fr/,Nouvelle-Aquitaine,public
396,http://iut-roanne.univ-st-etienne.fr,Auvergne-Rhône-Alpes,public
397,http://iut.u-pec.fr,Ile-de-France,public
398,http://iut.u-pec.fr/,Ile-de-France,public
399,http://iut.univ-amu.fr,Provence-Alpes-Côte d'Azur,public
400,http://iut.univ-amu.fr/sites/arles,Provence-Alpes-Côte d'Azur,public
401,http://iut.univ-amu.fr/sites/site-ciotat,Provence-Alpes-Côte d'Azur,public
